OBJECTID,Borough,Type,Provider,Latitude,Longitude,Location_T,City,BoroCode,NTACode
328,QU,Free,QPL,40.77112552,-73.82691581,Library,Flushing,4,QN22
329,QU,Free,QPL,40.75777407,-73.82888469,Library,Flushing,4,QN22
330,QU,Free,QPL,40.73448626,-73.75568167,Library,Bayside,4,QN42
331,MN,Free,NYPL,40.75685718,-73.97263247,Library,New York,1,MN19
332,QU,Free,QPL,40.73303424,-73.80987988,Library,Flushing,4,QN38
333,BX,Free,NYPL,40.88627338,-73.91467001,Library,Bronx,2,BX22
334,QU,Free,QPL,40.67695273,-73.74567356,Library,Laurelton,4,QN66
335,BK,Free,BPL,40.69162309,-73.9512835,Library,Brooklyn,3,BK75
336,QU,Free,QPL,40.74154357,-73.78227405,Library,Fresh Meadows,4,QN41
337,BK,Free,BPL,40.57610775,-73.96677488,Library,Brooklyn,3,BK19
338,QU,Free,QPL,40.75754568,-73.78430296,Library,Flushing,4,QN48
339,BX,Free,NYPL,40.8888949,-73.84083713,Library,Bronx,2,BX62
340,BK,Free,BPL,40.63362571,-74.02953835,Library,Brooklyn,3,BK31
341,BK,Free,BPL,40.69568256,-73.99134799,Library,Brooklyn,3,BK09
342,MN,Free,NYPL,40.78483464,-73.97745212,Library,New York,1,MN12
343,QU,Free,QPL,40.77681701,-73.90941702,Library,Long Island City,4,QN72
344,QU,Free,QPL,40.75089408,-73.86197684,Library,Corona,4,QN26
345,BX,Free,NYPL,40.84110509,-73.84662166,Library,Bronx,2,BX37
346,MN,Free,NYPL,40.86572954,-73.92585331,Library,New York,1,MN01
347,BK,Free,BPL,40.63888517,-73.98900778,Library,Brooklyn,3,BK88
348,QU,Free,QPL,40.74080878,-73.92166916,Library,Long Island City,4,QN31
349,QU,Free,QPL,40.72699537,-73.89310456,Library,Maspeth,4,QN30
350,MN,Free,NYPL,40.81377343,-73.95706391,Library,New York,1,MN09
351,MN,Free,NYPL,40.77420291,-73.98445465,Library,New York,1,MN14
352,MN,Free,NYPL,40.81482041,-73.94119767,Library,New York,1,MN03
353,QU,Free,QPL,40.76242213,-73.87386663,Library,East Elmhurst,4,QN27
354,QU,Free,QPL,40.73515699,-73.71709897,Library,Bellerose,4,QN43
355,BK,Free,BPL,40.67152666,-73.90860343,Library,Brooklyn,3,BK81
356,BK,Free,BPL,40.66118931,-73.9481023,Library,Brooklyn,3,BK60
357,BK,Free,BPL,40.66848651,-73.93365085,Library,Brooklyn,3,BK61
358,QU,Free,QPL,40.7825312,-73.77700881,Library,Bayside,4,QN47
359,MN,Free,NYPL,40.76491501,-73.95954995,Library,New York,1,MN31
360,MN,Free,NYPL,40.77360582,-73.95640407,Library,New York,1,MN31
361,QU,Free,QPL,40.58583941,-73.81606162,Library,Rockaway Beach,4,QN12
362,SI,Free,NYPL,40.5340583,-74.19323686,Library,Staten Island,5,SI32
363,BK,Free,BPL,40.59265313,-73.9886821,Library,Brooklyn,3,BK29
364,QU,Free,QPL,40.72016843,-73.76230411,Library,Hollis,4,QN06
